[TRP]
						Atom	Raw	        Charges	Edit
CHARGE,	PHE01,	 CE2:	0		10	CE2	-0.156974	-0.157	-0.159
CHARGE,	PHE01,	 HE2:	0		17	HE2	0.123731	0.124	 0.122
CHARGE,	PHE01,	 CZ :	0		12	CZ	-0.099824	-0.100	-0.102
CHARGE,	PHE01,	 HZ :	0		19	HZ	0.114679	0.115	 0.113

[PRO]
						Atom	Raw	        Charges	Edit
CHARGE,	PROBK,	N  :	0		0	N	-0.088116	-0.088	-0.055	
CHARGE,	PROBK,	CA :	0		1	CA	-0.034577	-0.035	-0.002
CHARGE,	PROBK,	HA :	0		5	HA	0.059977	0.060	 0.093
CHARGE,	PROBK,	C  :	0		2	C	0.33372	        0.334	 0.366
CHARGE,	PROBK,	O  :	0		3	O	-0.434559	-0.435	-0.402
CHARGE,	PRO01,	CB :			6	CB	-0.003351	-0.003	-0.022
CHARGE,	PRO01,	HB2:			9	HB1	0.019352	0.019	 0.001
CHARGE,	PRO01,	HB3:			10	HB2	0.019352	0.019	 0.001
CHARGE,	PRO01,	CG :			7	CG	0.013059	0.013	-0.005
CHARGE,	PRO01,	HG2:			11	HG1	0.019574	0.020	 0.001
CHARGE,	PRO01,	HG3:			12	HG2	0.019574	0.020	 0.001
CHARGE,	PRO01,	CD :			8	CD	-0.011906	-0.012	-0.030
CHARGE,	PRO01,	HD2:			13	HD1	0.043951	0.044	 0.026
CHARGE,	PRO01,	HD3:			14	HD2	0.04395	        0.044	 0.026

[THR]
						Atom	Raw	        Charges	Edit
CHARGE,	THRBK,	 N  :	-0.35		0	N	-0.245382	-0.245	-0.230
CHARGE,	THRBK,	 H  :	0.25		4	H	0.255339	0.255	 0.270
CHARGE,	THRBK,	 CA :	0.1		1	CA	-0.271249	-0.271	-0.256
CHARGE,	THRBK,	 HA :	0		5	HA	0.163757	0.164	 0.179
CHARGE,	THRBK,	 C  :	0.55		2	C	0.559878	0.560	 0.575
CHARGE,	THRBK,	 O  :	-0.55		3	O	-0.55202	-0.552	-0.537
CHARGE,	THR01,	 CB :	0		6	CB	0.237868	0.238	 0.227
CHARGE,	THR01,	 HB :	0		9	HB	0.044688	0.045	 0.033
CHARGE,	THR01,	 OG1:	-0.49		7	OG1	-0.601931	-0.602	-0.613
CHARGE,	THR01,	 HG1:	0.49		13	HG1	0.405484	0.405	 0.394
CHARGE,	THR01,	 CG2:	0		8	CG2	-0.176489	-0.176	-0.188
CHARGE,	THR01,	HG21:	0		10	HG21	0.060019	0.060	 0.049
CHARGE,	THR01,	HG22:	0		11	HG22	0.060019	0.060	 0.049
CHARGE,	THR01,	HG23:	0		12	HG23	0.060019	0.060	 0.049

[VAL]
						Atom	Raw	        Charges	Edit
CHARGE,	VALBK,	 N  :	-0.35		0	N	-0.450087	-0.450	-0.443
CHARGE,	VALBK,	 H  :	0.25		4	H	0.440048	0.440	 0.448
CHARGE,	VALBK,	 CA :	0.1		1	CA	-0.051858	-0.052	-0.044
CHARGE,	VALBK,	 HA :	0		5	HA	-0.026204	-0.026	-0.019
CHARGE,	VALBK,	 C  :	0.55		2	C	0.447359	0.447	 0.455
CHARGE,	VALBK,	 O  :	-0.55		3	O	-0.404629	-0.405	-0.397
CHARGE,	VAL01,	 CB :	0		6	CB	0.395217	0.395	 0.391
CHARGE,	VAL01,	 HB :	0		9	HB	-0.115672	-0.116	-0.120
CHARGE,	VAL01,	 CG1:	0		8	CG1	-0.090132	-0.090	-0.095
CHARGE,	VAL01,	HG11:	0		13	HG11	-0.008985	-0.009	-0.014
CHARGE,	VAL01,	HG12:	0		14	HG12	-0.008985	-0.009	-0.014
CHARGE,	VAL01,	HG13:	0		15	HG13	-0.008985	-0.009	-0.014
CHARGE,	VAL01,	 CG2:	0		7	CG2	-0.090132	-0.090	-0.095
CHARGE,	VAL01,	HG21:	0		10	HG21	-0.008985	-0.009	-0.014
CHARGE,	VAL01,	HG22:	0		11	HG22	-0.008985	-0.009	-0.014
CHARGE,	VAL01,	HG23:	0		12	HG23	-0.008985	-0.009	-0.014

[SER]
						Atom	Raw	        Charges	Edit
CHARGE,	SERBK,	 N  :	-0.35		0	N	-0.54143	-0.541	-0.536
CHARGE,	SERBK,	 H  :	0.25		4	H	0.345415	0.345	 0.351
CHARGE,	SERBK,	 CA :	0.1		1	CA	0.11814	        0.118	 0.124
CHARGE,	SERBK,	 HA :	0		5	HA	0.142177	0.142	 0.148
CHARGE,	SERBK,	 C  :	0.55		2	C	0.483424	0.483	 0.489
CHARGE,	SERBK,	 O  :	-0.55		3	O	-0.580829	-0.581	-0.575
CHARGE,	SER01,	 CB :	0		6	CB	0.146998	0.147	 0.140
CHARGE,	SER01,	 HB2:	0		9	HB1	0.040081	0.040	 0.033
CHARGE,	SER01,	 HB3:	0		10	HB2	0.040081	0.040	 0.033
CHARGE,	SER01,	 OG :	-0.49		7	OG	-0.640312	-0.640	-0.647
CHARGE,	SER01,	 HG :	0.49		8	HG	0.446255	0.446	 0.440

[CYS]
						Atom	RawBKAvg	Charges	Edit
CHARGE,	CYSBK,	N  :	-0.35		0	N	-0.415928667	-0.416	-0.412
CHARGE,	CYSBK,	H  :	0.25		4	H	0.285721333	0.286	 0.289
CHARGE,	CYSBK,	CA :	0.1		1	CA	-0.046382667	-0.046	-0.043
CHARGE,	CYSBK,	HA :	0		5	HA	0.107818667	0.108	 0.112
CHARGE,	CYSBK,	C  :	0.55		2	C	0.621707667	0.622	 0.625
CHARGE,	CYSBK,	O  :	-0.55		3	O	-0.575309333	-0.575	-0.572
CHARGE,	CYS01,	CB :	0		6	CB	-0.221371	-0.221	-0.217
CHARGE,	CYS01,	HB2:	0		8	HB1	0.146537	0.147	 0.151
CHARGE,	CYS01,	HB3:	0		9	HB2	0.146537	0.147	 0.151
CHARGE,	CYS01,	SG :	-0.29		7	SG	-0.285182	-0.285	-0.280
CHARGE,	CYS01,	HG :	0.29		10	HG	0.189274	0.189	 0.194
CHARGE,	CYS-1,	CB :	-0.08		1	CB	-0.2413	        -0.241	-0.266
CHARGE,	CYS-1,	HB2:	0		3	HB1	0.1122	        0.112	 0.088
CHARGE,	CYS-1,	HB3:	0		4	HB2	0.1122	        0.112	 0.088
CHARGE,	CYS-1,	SG :	-0.92		5	SG	-0.8844	       -0.884	-0.909

[TYR]
						Atom	RawBKAvg	Charges	Edit
CHARGE,	TYRBK,	 N  :	-0.35		0	N	-0.48756	-0.488	-0.484
CHARGE,	TYRBK,	 H  :	0.25		4	H	0.263521	0.264	 0.267
CHARGE,	TYRBK,	 CA :	0.1		1	CA	0.009614	0.010	 0.013
CHARGE,	TYRBK,	 HA :	0		5	HA	0.095501	0.096	 0.099
CHARGE,	TYRBK,	 C  :	0.55		2	C	0.62229	        0.622	 0.626
CHARGE,	TYRBK,	 O  :	-0.55		3	O	-0.526607	-0.527	-0.523
CHARGE,	TYR01,	 CB :	0.125		6	CB	-0.051853	-0.052	-0.053
CHARGE,	TYR01,	 HB2:	0		14	HB1	0.019145	0.019	 0.018
CHARGE,	TYR01,	 HB3:	0		15	HB2	0.019145	0.019	 0.018
CHARGE,	TYR01,	 CG :	-0.125		7	CG	0.112601	0.113	 0.111
CHARGE,	TYR01,	 CD1:	-0.125		9	CD1	-0.183461	-0.183	-0.185
CHARGE,	TYR01,	 HD1:	0.125		17	HD1	0.132715	0.133	 0.131
CHARGE,	TYR01,	 CD2:	-0.125		8	CD2	-0.183461	-0.183	-0.185
CHARGE,	TYR01,	 HD2:	0.125		16	HD2	0.132715	0.133	 0.131
CHARGE,	TYR01,	 CE1:	-0.125		11	CE1	-0.181823	-0.182	-0.183
CHARGE,	TYR01,	 HE1:	0.125		19	HE1	0.137303	0.137	 0.136
CHARGE,	TYR01,	 CE2:	-0.125		10	CE2	-0.181823	-0.182	-0.183
CHARGE,	TYR01,	 HE2:	0.125		18	HE2	0.137303	0.137	 0.136
CHARGE,	TYR01,	 CZ :	0.055		12	CZ	0.206277	0.206	 0.205
CHARGE,	TYR01,	 OH :	-0.49		13	OH	-0.421233	-0.421	-0.423
CHARGE,	TYR01,	 HH :	0.435		20	HH	0.329691	0.330	 0.328
CHARGE,	TYR-1,	CB :	0.125		1	CB	-0.051853	-0.052	-0.101
CHARGE,	TYR-1,	HB2:	0		9	HB1	0.019145	0.019	-0.030
CHARGE,	TYR-1,	HB3:	0		10	HB2	0.019145	0.019	-0.030
CHARGE,	TYR-1,	CG :	-0.195		2	CG	0.112601	0.113	 0.063
CHARGE,	TYR-1,	CD1:	-0.195		3	CD1	-0.183461	-0.183	-0.233
CHARGE,	TYR-1,	HD1:	0.125		11	HD1	0.132715	0.133	 0.083
CHARGE,	TYR-1,	CD2:	-0.195		4	CD2	-0.183461	-0.183	-0.233
CHARGE,	TYR-1,	HD2:	0.125		12	HD2	0.132715	0.133	 0.083
CHARGE,	TYR-1,	CE1:	-0.195		5	CE1	-0.181823	-0.182	-0.231
CHARGE,	TYR-1,	HE1:	0.125		13	HE1	0.137303	0.137	 0.088
CHARGE,	TYR-1,	CE2:	-0.195		6	CE2	-0.181823	-0.182	-0.231
CHARGE,	TYR-1,	HE2:	0.125		14	HE2	0.137303	0.137	 0.088
CHARGE,	TYR-1,	CZ :	-0.07		7	CZ	0.206277	0.206	 0.157
CHARGE,	TYR-1,	OH :	-0.58		15	OH	-0.421233	-0.421	-0.471

[ASP]
						Atom	RawBKAvg	Charges	Edit
CHARGE,	ASPBK,	 N  :	-0.35		0	N	-0.475135	-0.475	-0.458
CHARGE,	ASPBK,	 H  :	0.25		4	H	0.3010445	0.301	 0.318
CHARGE,	ASPBK,	 CA :	0.1		1	CA	-0.014046	-0.014	 0.003
CHARGE,	ASPBK,	 HA :	0		5	HA	0.0883335	0.088	 0.105
CHARGE,	ASPBK,	 C  :	0.55		2	C	0.531847	0.532	 0.549
CHARGE,	ASPBK,	 O  :	-0.55		3	O	-0.533245	-0.533	-0.516
CHARGE,	ASP01,	 CB :	0		1	CB	-0.121405	-0.121	-0.121
CHARGE,	ASP01,	 HB2:	0		4	HB1	0.069032	0.069	 0.070
CHARGE,	ASP01,	 HB3:	0		5	HB2	0.069032	0.069	 0.070
CHARGE,	ASP01,	 CG :	0.55		2	CG	0.67864	        0.679	 0.679
CHARGE,	ASP01,	 OD1:	-0.495		6	OD1	-0.55094	-0.551	-0.550
CHARGE,	ASP01,	 HD1:	0.435		8	HD1	0.438035	0.438	 0.439
CHARGE,	ASP01,	 OD2:	-0.49		7	OD2	-0.587163	-0.587	-0.586
CHARGE,	ASP02,	 CB :	0		1	CB	-0.121405	-0.121	-0.121
CHARGE,	ASP02,	 HB2:	0		4	HB1	0.069032	0.069	 0.070
CHARGE,	ASP02,	 HB3:	0		5	HB2	0.069032	0.069	 0.070
CHARGE,	ASP02,	 CG :	0.55		2	CG	0.67864	        0.679	 0.679
CHARGE,	ASP02,	 OD1:	-0.49		6	OD1	-0.587163	-0.587	-0.586
CHARGE,	ASP02,	 OD2:	-0.495		7	OD2	-0.55094	-0.551	-0.550
CHARGE,	ASP02,	 HD2:	0.435		8	HD1	0.438035	0.438	 0.439
CHARGE,	ASP-1,	 CB :	0		6	CB	-0.047555	-0.048	-0.082
CHARGE,	ASP-1,	 HB2:	0		10	HB1	-0.014836	-0.015	-0.049
CHARGE,	ASP-1,	 HB3:	0		11	HB2	-0.014836	-0.015	-0.049
CHARGE,	ASP-1,	 CG :	0.1		7	CG	0.745168	0.745	 0.711
CHARGE,	ASP-1,	 OD1:	-0.55		9	OD1	-0.730385	-0.730	-0.765
CHARGE,	ASP-1,	 OD2:	-0.55		8	OD2	-0.730385	-0.730	-0.765

[GLU]
						Atom	RawBKAvg	Charges	Edit
CHARGE,	GLUBK,	 N  :	-0.35		0	N	-0.403964	-0.404	-0.388
CHARGE,	GLUBK,	 H  :	0.25		4	H	0.285387	 0.285	 0.301
CHARGE,	GLUBK,	 CA :	0.1		1	CA	-0.0146325	-0.015	 0.001
CHARGE,	GLUBK,	 HA :	0		5	HA	0.08736	         0.087	 0.103
CHARGE,	GLUBK,	 C  :	0.55		2	C	0.5283955	0.528	 0.544
